"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31852","test_share_toolbar_validation","tests","Fri Jan 30 12:39:36 UTC 2026","passed","Fri Jan 30 12:40:07 UTC 2026","","sharetoolbar","",""
"","23919","test_most_read_component","tests","Fri Jan 30 12:38:42 UTC 2026","passed","Fri Jan 30 12:39:06 UTC 2026","","masleidas","",""
"","48860","test_social_links_footer","tests","Fri Jan 30 12:41:19 UTC 2026","passed","Fri Jan 30 12:42:08 UTC 2026","","sociallinksfooter","",""
"","47626","test_social_links_header","tests","Fri Jan 30 12:42:09 UTC 2026","passed","Fri Jan 30 12:42:56 UTC 2026","","sociallinksheader","",""
"","9786","test_navegacion_tags","tests","Fri Jan 30 12:42:57 UTC 2026","passed","Fri Jan 30 12:43:07 UTC 2026","","tags","",""
"","29251","test_configuracion_notificaciones","tests","Fri Jan 30 12:39:06 UTC 2026","passed","Fri Jan 30 12:39:35 UTC 2026","","notificaciones","",""
"","71080","test_videolab_player_user_paths","tests","Fri Jan 30 12:43:07 UTC 2026","passed","Fri Jan 30 12:44:18 UTC 2026","","videolab","",""
"","71332","test_shorts_player_user_paths","tests","Fri Jan 30 12:40:08 UTC 2026","passed","Fri Jan 30 12:41:19 UTC 2026","","shorts","",""
