"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10557","test_social_links_header","tests","Thu Feb 19 12:34:36 UTC 2026","broken","Thu Feb 19 12:34:47 UTC 2026","","sociallinksheader","",""
"","25005","test_most_read_component","tests","Thu Feb 19 12:31:55 UTC 2026","passed","Thu Feb 19 12:32:20 UTC 2026","","masleidas","",""
"","24520","test_videolab_player_user_paths","tests","Thu Feb 19 12:35:32 UTC 2026","broken","Thu Feb 19 12:35:57 UTC 2026","","videolab","",""
"","25310","test_shorts_player_user_paths","tests","Thu Feb 19 12:33:22 UTC 2026","broken","Thu Feb 19 12:33:47 UTC 2026","","shorts","",""
"","48363","test_social_links_footer","tests","Thu Feb 19 12:33:48 UTC 2026","passed","Thu Feb 19 12:34:36 UTC 2026","","sociallinksfooter","",""
"","34840","test_trinity_audio_player_full_suite","tests","Thu Feb 19 12:34:57 UTC 2026","passed","Thu Feb 19 12:35:32 UTC 2026","","trinity","",""
"","9040","test_navegacion_tags","tests","Thu Feb 19 12:34:47 UTC 2026","passed","Thu Feb 19 12:34:56 UTC 2026","","tags","",""
"","31957","test_share_toolbar_validation","tests","Thu Feb 19 12:32:50 UTC 2026","passed","Thu Feb 19 12:33:22 UTC 2026","","sharetoolbar","",""
"","29204","test_configuracion_notificaciones","tests","Thu Feb 19 12:32:20 UTC 2026","passed","Thu Feb 19 12:32:49 UTC 2026","","notificaciones","",""
