"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53451","test_social_links_header","tests","Wed Jan 28 14:23:05 UTC 2026","passed","Wed Jan 28 14:23:58 UTC 2026","","sociallinksheader","",""
"","8491","test_most_read_component","tests","Wed Jan 28 14:22:16 UTC 2026","passed","Wed Jan 28 14:22:24 UTC 2026","","masleidas","",""
"","53714","test_social_links_footer","tests","Wed Jan 28 14:23:58 UTC 2026","passed","Wed Jan 28 14:24:52 UTC 2026","","sociallinksfooter","",""
"","10255","test_navegacion_tags","tests","Wed Jan 28 14:22:54 UTC 2026","passed","Wed Jan 28 14:23:04 UTC 2026","","tags","",""
"","22342","test_share_toolbar_validation","tests","Wed Jan 28 14:24:52 UTC 2026","passed","Wed Jan 28 14:25:15 UTC 2026","","sharetoolbar","",""
"","34408","test_trinity_audio_player_full_suite","tests","Wed Jan 28 14:26:50 UTC 2026","passed","Wed Jan 28 14:27:24 UTC 2026","","trinity","",""
"","29167","test_configuracion_notificaciones","tests","Wed Jan 28 14:22:24 UTC 2026","passed","Wed Jan 28 14:22:54 UTC 2026","","notificaciones","",""
"","94695","test_shorts_player_full_validation","tests","Wed Jan 28 14:25:15 UTC 2026","passed","Wed Jan 28 14:26:50 UTC 2026","","shorts","",""
